T,TM,Tm,H,PP,VV,V,VM,PM 2.5
-1.5,2.3,-5.0,86.0,0.0,6.9,5.9,14.8,0.0
1.4,6.3,-5.3,80.0,0.0,9.0,9.4,22.2,0.0
5.8,9.0,-0.1,85.0,0.0,9.3,14.4,25.9,0.0
2.3,7.0,-1.0,87.0,0.0,10.0,8.5,18.3,0.0
4.4,11.0,-1.1,72.0,0.0,10.1,14.1,20.6,0.0
5.2,10.3,-1.4,80.0,0.0,10.3,12.8,22.2,0.0
6.5,14.0,-3.8,68.0,0.0,11.3,12.6,33.5,0.0
8.3,13.0,1.7,70.0,0.0,12.1,11.3,27.8,0.0
7.1,14.0,-0.1,71.0,0.0,10.3,10.7,24.1,0.0
1.5,4.3,-0.5,83.0,0.0,8.7,6.9,18.3,0.0
0.6,1.4,0.0,95.0,20.07,1.1,0.6,3.5,0.0
1.1,3.0,0.0,93.0,1.02,4.0,4.1,11.1,0.0
0.9,3.4,-0.3,82.0,0.25,10.3,30.0,40.7,0.0
0.7,3.0,-0.5,83.0,0.0,8.7,9.3,22.2,0.0
2.0,4.1,0.0,86.0,2.29,8.0,17.0,31.7,0.0
0.9,3.6,-1.0,90.0,0.0,9.5,9.8,16.5,0.0
0.2,2.0,-2.0,88.0,8.64,7.4,6.1,20.6,0.0
-0.6,4.8,-6.2,89.0,3.56,6.3,3.3,9.4,0.0
-3.6,0.0,-9.2,89.0,0.0,8.9,8.0,14.8,0.0
-0.7,0.3,-1.4,74.0,0.0,9.0,12.0,16.5,0.0
-0.8,3.0,-4.5,76.0,0.0,8.7,19.3,37.0,0.0
-0.2,4.0,-4.4,73.0,0.0,11.1,12.0,20.6,0.0
5.6,10.2,0.0,80.0,0.0,10.3,11.9,22.2,90.0
7.2,11.7,2.0,77.0,0.25,11.6,11.7,27.8,90.0
3.7,7.2,1.3,90.0,0.25,11.4,8.1,18.3,38.0
3.0,12.0,-5.2,77.0,0.0,7.4,5.0,14.8,93.0
5.1,11.1,-1.0,65.0,0.0,10.8,16.1,31.7,68.0
3.4,9.0,-1.0,81.0,0.25,9.3,9.6,29.4,58.0
4.5,8.3,2.0,73.0,3.81,11.9,20.6,31.7,41.0
2.6,7.3,-4.5,71.0,0.0,11.1,5.9,11.1,23.0
3.7,5.3,2.6,82.0,5.08,10.1,15.0,29.4,58.0
4.5,7.4,-2.3,92.0,1.78,8.5,11.7,20.6,42.0
8.5,15.1,3.0,82.0,5.84,8.9,12.8,25.9,67.0
6.8,13.7,-1.7,71.0,0.51,11.1,5.4,13.0,56.0
3.9,12.9,-4.1,66.0,0.0,10.3,6.9,14.8,44.0
5.6,15.3,-3.6,65.0,0.0,9.5,8.9,18.3,73.0
6.6,15.0,-1.0,70.0,0.0,9.3,8.0,13.0,79.0
6.1,12.9,-2.0,66.0,0.0,9.7,10.2,22.2,89.0
6.0,8.9,4.0,86.0,2.29,11.6,8.3,20.6,82.0
4.2,8.0,-0.2,85.0,0.0,3.9,5.0,14.8,63.0
9.3,16.6,0.9,73.0,0.0,6.9,7.4,16.5,78.0
9.1,14.5,4.0,88.0,0.0,2.3,4.1,14.8,100.0
7.9,10.7,3.7,94.0,0.51,3.1,7.0,24.1,160.0
4.8,11.5,2.0,92.0,12.7,9.3,13.3,33.5,50.0
5.7,9.1,4.0,81.0,5.08,10.3,10.2,20.6,24.0
7.9,12.0,5.0,73.0,0.0,9.7,14.1,27.8,46.0
12.7,17.4,9.0,74.0,8.13,9.8,13.3,22.2,21.0
6.9,12.6,1.0,66.0,0.0,11.4,13.7,25.9,31.0
6.3,11.1,-1.2,79.0,0.25,11.3,6.5,13.0,20.0
